source,name,hosted link,screenshot link,,,,,
https://www.facebook.com/LibertyMemesOriginalPage/photos/a.542680036172696/924744281299601/?type=3&theater,1,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/1.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/1_screenshot.jpg,,,,,
https://www.facebook.com/LibertyMemesOriginalPage/posts/924744307966265?comment_id=924746971299332 ,2,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/2.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/2_screenshot.png,,,,,
https://www.facebook.com/LibertyMemesOriginalPage/posts/924744307966265?comment_id=924766524630710 ,3,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/3.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/3_screenshot.png,,,,,
https://www.facebook.com/photo.php?fbid=10156963713626734&set=p.10156963713626734&type=3&theater,4,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/4.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/4_screenshot.png,,,,,
https://www.facebook.com/photo.php?fbid=2107483806062693&set=p.2107483806062693&type=3&theater,5,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/5.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/5_screenshot.png,,,,,
https://www.facebook.com/photo.php?fbid=10158241205387881&set=p.10158241205387881&type=3&theater,6,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/6.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/6_screenshot.png,,,,,
https://www.facebook.com/photo.php?fbid=3385280654850143&set=p.3385280654850143&type=3&theater,7,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/7.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/7_screenshot.png,,,,,
https://www.facebook.com/RealFakeTweets/photos/p.1705870052913771/1705870052913771/?type=3&theater,8,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/8.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/8_screenshot.png,,,,,
https://www.facebook.com/LibertyMemesOriginalPage/photos/a.542680036172696/924289718011724/?type=3&theater,9,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/9.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/9_screenshot.png,,,,,
https://www.facebook.com/photo.php?fbid=735192370356550&set=p.735192370356550&type=3&theater,10,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/10.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/10_screenshot.png,,,,,
https://www.facebook.com/photo.php?fbid=3673565162672179&set=p.3673565162672179&type=3&theater,11,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/11.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/11_screenshot.png,,,,,
https://www.facebook.com/photo.php?fbid=3541849919176081&set=p.3541849919176081&type=3&theater,12,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/12.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/12_screenshot.png,,,,,
https://twitter.com/WANaziWatch/status/1272971047671750658,13,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/13.1.png,https://res.cloudinary.com/memeticinfluence/image/upload/v1593456805/capitol-hill-autonomous-zone/13_screenshot.png,,,,,
,13,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/13.2.png,,,,,,
,13,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/13.3.png,,,,,,
https://twitter.com/TheClifBob/status/1272906714187288580,14,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/14.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/14_screenshot.png,,,,,
https://twitter.com/CFACT/status/1272917598871736320,15,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/15.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/15_screenshot.png,,,,,
https://twitter.com/TimJaco67743395/status/1272900571104772097,16,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/16.png,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/16_screenshot.png,,,,,
https://twitter.com/larrytheanalyst/status/1271474114558152708,17,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/17.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/17_screenshot.png,,,,,
https://twitter.com/prefer_lol/status/1272926304946524163,18,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/18.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/18_screenshot.png,,,,,
https://twitter.com/IGD_News/status/1272985090872598529/photo/1,19,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/19.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/19_screenshot.png,,,,,
https://www.facebook.com/LibertyMemesOriginalPage/photos/a.542680036172696/928064214300941/?type=3&theater,20,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/20.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/20_screenshot.png,,,,,
https://www.facebook.com/photo.php?fbid=164648605068059&set=p.164648605068059&type=3&theater,21,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/21.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/21_screenshot.png,,,,,
https://www.facebook.com/photo.php?fbid=178349223662641&set=p.178349223662641&type=3&theater,22,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/22.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/22_screenshot.png,,,,,
https://www.facebook.com/photo.php?fbid=10156974959706734&set=p.10156974959706734&type=3&theater,23,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/23.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1593454142/capitol-hill-autonomous-zone/23_screenshot.png,,,,,
